brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,images_front_full_url,updated_at,section_id
4food,melgalllll Sandwich,521b95454a56d006cae29a98,53444ea3bbe33514459806d1,null,1,BUILDBOARD - melgalllll Sandwich,null,319,null,3.5,0.4,0,null,null,0,298,57.7,12.6,8.8,16.7,486,25,11,24,null,null,1,sandwich,null,null,2014-12-30T08:20:00+00:00,24708
Bertucci's,Caesar Dressing,513fbc1283aa2dc80c000048,513fc997927da704080041df,null,1,Dressings & Sauces - Caesar Dressing,null,120,null,12,2,null,null,null,null,388,1,0,null,1,null,null,null,null,null,null,1,fl oz,null,null,2014-12-30T07:28:46+00:00,22280
Baskin Robbins,Trick OREOå¨ Treat Ice Cream,51db37b9176fe9790a898c07,52cdcd42051cb9eb3200680a,null,1,Flavors of the Month - Trick OREOå¨ Treat Ice Cream,null,300,140,16,9,0,null,null,45,140,36,1,30,5,8,2,15,4,null,null,4,oz scoops,null,null,2014-12-30T08:15:02+00:00,23915
Bareburger,Sweet Fries Snack,463d66626e509ef91be379d0,463d6886052f86f8f55bb377,null,1,,null,1150,690,79,7,0,null,null,0,1070,120,19,44,6,null,null,null,null,null,null,13.4,oz,null,null,2014-11-14T21:08:20+00:00,null
Cosi,Tomatoes - Salad,513fbc1283aa2dc80c000064,529e7dd7f9655f6d35002048,null,1,,null,9.58,2.4,0,0,0,null,null,0,4.79,2.4,0,0,0,5,14,0,0,null,null,45.52,Grams,45.52,null,2014-10-02T18:42:23+00:00,22235
Extreme Pizza,Chicken BBQ Caesar Salad EntrÌ©e,513fbc1283aa2dc80c0000df,529e7f0cea63d49335007eaf,null,1,"Healthy Dining Fresh Salads, Fresh Salads - Chicken BBQ Caesar Salad EntrÌ©e",null,203,null,null,2.1,null,null,null,null,582.6,14.8,null,null,null,null,null,null,null,null,null,2,servings,null,null,2014-12-30T08:09:28+00:00,"2,292,822,930"
D'Angelo Grilled Sandwiches,Medium - Provolone,513fbc1283aa2dc80c00072f,53444eec9a631f1645ed0092,null,1,BUILD YOUR OWN COLD SANDWICHES - Cheese - Medium - Provolone,null,200,135,15,9,0.5,null,null,45,400,1,0,0,0,null,null,null,null,null,null,57,g,null,null,2014-12-30T08:17:23+00:00,24241
4food,melgalllll Sandwich,521b95454a56d006cae29a98,53444ea3bbe33514459806d1,null,1,BUILDBOARD - melgalllll Sandwich,null,319,null,3.5,0.4,0,null,null,0,298,57.7,12.6,8.8,16.7,486,25,11,24,null,null,1,sandwich,null,null,2014-12-30T08:20:00+00:00,24708
Brixx Wood Fired Pizza,Corn and Black Bean Salad,513fbc1283aa2dc80c000b97,53444f91cd5bb303a94c4a7f,null,1,SANDWICH SIDE ITEMS - Corn and Black Bean Salad,null,140,10,1,0,0,null,null,0,520,29,7,3,7,2,4,2,10,null,null,1,Salad,null,null,2014-12-30T08:17:36+00:00,18540
Menchie's Frozen Yogurt,Takes The Cake Batter,513fbc1283aa2dc80c00007f,5266a1999f05a39eb300b8dd,null,1,LOWFAT - Takes The Cake Batter,null,130,10,1,0,null,null,null,null,null,26,null,20,4,null,null,15,null,null,null,0.5,cup,null,null,2014-12-30T08:06:10+00:00,22077
Bd's Mongolian Grill,Egg,521b95434a56d006cae297f9,53444cfc7ba4ca15456f561c,null,1,MEATS - Egg,null,60,40,5,2,0,null,null,185,60,0,0,0,6,4,0,2,4,null,null,1,ea,null,null,2014-12-30T08:21:31+00:00,24961
California Pizza Kitchen,"Flavored Fresh Lemonade, Peach",513fbc1283aa2dc80c000034,529e7e68ea63d49335004f54,null,1,"BEVERAGES - Flavored Fresh Lemonade, Peach",null,180,0,0,0,0,null,null,0,14,46,0,42,0,null,null,null,null,null,null,1,lemonade,null,null,2014-12-30T08:08:27+00:00,22619
Whitespot Restaurants,Add Pirate Tossed Salad,513fbc1283aa2dc80c000b8e,53444f7c7ba4ca15456f5e57,null,1,PIRATE PAKS - Add Pirate Tossed Salad,null,63,null,5,0.4,0,null,null,5,49,3,0.7,2,1,51,5,2,8,null,null,59,g,null,null,2014-12-30T08:17:14+00:00,18431
Applebee's,Strawberry Vinaigrette,513fbc1283aa2dc80c000015,534448e4bbe335144597fd76,null,1,KID'S MENU - Strawberry Vinaigrette,null,110,null,8,1,0,null,null,null,220,9,0,null,0,null,null,null,null,null,null,1,fl oz,null,null,2014-12-30T08:19:37+00:00,21146
Ponderosa Steakhouse,Spinach Salad,513fbc1283aa2dc80c00056e,513fc9e73fe3ffd403000b5e,null,1,All You Can Eat Buffet - Spinach Salad,null,36,20,2,0,0,null,null,13,95,3,1,1,1,null,null,null,null,null,null,1,Ounce,null,null,2014-12-30T07:55:17+00:00,22725
Daphne's Greek Cafe,Grilled Chicken Kabob and Lemon Chicken Soup,513fbc1283aa2dc80c000383,513fc9cc673c4fbc260064c0,null,1,3-COURSE DINNER - Grilled Chicken Kabob and Lemon Chicken Soup,null,290,120,14,4,null,null,null,120,1580,15,1,3,28,null,null,null,null,null,null,1,plating,null,null,2014-12-30T07:52:08+00:00,19079
Burger Lounge,Add Malt to A Milkshake,513fbc1283aa2dc80c000314,52cdd0e5051cb9eb32013840,null,1,DESSERTS - Add Malt to A Milkshake,null,243,49,5,3,0,null,null,14,230,41,3,27,8,null,null,null,null,null,null,2,oz,null,null,2014-12-30T08:13:58+00:00,23749
Sonic,Sweet Iced Tea -Route 44å¨ (44 oz),513fbc1283aa2dc80c000010,513fc993927da70408001c19,null,1,,null,400,0,0,0,0,null,null,0,25,103,0,100,0,0,0,0,0,null,null,1,serving,null,null,2014-12-30T07:22:14+00:00,null
Menchie's Frozen Yogurt,Takes The Cake Batter,513fbc1283aa2dc80c00007f,5266a1999f05a39eb300b8dd,null,1,LOWFAT - Takes The Cake Batter,null,130,10,1,0,null,null,null,null,null,26,null,20,4,null,null,15,null,null,null,0.5,cup,null,null,2014-12-30T08:06:10+00:00,22077
Nando's Peri-Peri,Macho Peas,513fbc1283aa2dc80c000058,513fc991927da7040800004c,null,1,SIDE ITEMS - Macho Peas,null,328,221,25,13,0,null,null,53,171,18,7,5,8,36,45,1,11,null,null,1,serving,null,null,2014-12-30T07:21:51+00:00,23009
16 Handles,Passion Fruit Tart,513fbc1283aa2dc80c00007e,529e7ec4f9655f6d3500690c,null,1,YOGURT - Passion Fruit Tart,null,31,0,0,0,null,null,null,0,6,7,0,8,1,0,0,2,0,null,null,1,fl oz,null,null,2014-12-30T08:07:33+00:00,22450
Cousin's Subs,"7å_"" Italian Cheese Steak",513fbc1283aa2dc80c0000dc,529e7f09ea63d49335007e16,null,1,"Subs - 7å_"" Italian Cheese Steak",null,930,null,54,23,null,null,null,140,2010,55,2,1,56,null,null,null,null,null,null,452,g,null,null,2014-12-30T08:08:56+00:00,22787
Coco's Bakery,Gardenburger,513fbc1283aa2dc80c00035d,513fc9cc673c4fbc2600631d,null,1,Lunch/Dinner Menu - Other LunchDinner Options - Gardenburger,null,150,null,4,1.5,0,null,null,25,760,22,3,1,8,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:51:55+00:00,null
Mimi's Cafe,Mimi's Croissant Sandwich with Slow-Smoked Ham,513fbc1283aa2dc80c00025f,529e7fc7f9655f6d3500b67f,null,1,BREAKFAST - Mimi's Specialites - Mimi's Croissant Sandwich with Slow-Smoked Ham,null,870,470,52,26,0.5,null,null,490,2570,59,5,18,41,null,null,null,null,null,null,17,oz,null,null,2014-12-30T08:08:48+00:00,22755
Nanoosh,BabaNanoosh,513fbc1283aa2dc80c0000a0,513fc9ca673c4fbc2600476d,null,1,Sides - BabaNanoosh,null,159,null,11,2,null,null,null,0,375,12,null,0,4,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:48:32+00:00,18260
Panago Pizza,Tropical Chicken - Gluten-smart,513fbc1283aa2dc80c000278,5266a2a09f05a39eb30128be,null,1,CHICKEN PIZZAS - Tropical Chicken - Gluten-smart,null,220,70,7,3,0,null,null,null,430,31,1,5,11,null,null,null,null,null,null,111,g,null,null,2014-12-30T08:07:31+00:00,22439
Samuel Mancino's Italian Eatery,"Beef Patty Crumbles, FC w 15% TVP - 12"" Pizza",513fbc1283aa2dc80c000b8f,513fc9ca673c4fbc26004eed,null,1,"SM - 12"" Pizza & Toppings - Beef Patty Crumbles, FC w 15% TVP",null,25,15,2,0,null,null,null,4,90,1,0,0,2,0,0,0,0,null,null,1,portion,11,null,2014-12-30T07:49:12+00:00,18444
Donatos,Founders Favorite Pizza - Large Thin Signature,513fbc1283aa2dc80c0000e7,529e7f11f9655f6d35007fe3,null,1,Large Thin Signatures - Founders Favorite Pizza - Large Thin Signature,null,660,300,34,15,0,null,null,115,2350,51,4,6,37,20,35,45,25,null,null,0.25,pizza,302,null,2014-12-30T08:08:02+00:00,22537
Golden Edibles,Triple Marshmallows on a Stick - (Dark Chocolate),516d9a14e3afed26ac220826,529e7de5f9655f6d35002730,null,1,null,"DARK CHOCOLATE (COCOA LIQUOR, SUGAR, COCOA BUTTER, SOY LECITHIN (AN EMULSIFIER), NATURAL VANILLA. CONTAINS: MILK, SOY) CORN SYRUP, SUGAR, DEXTROSE, MODIFIED FOOD STARCH (CORN), WATER, GELATIN, NATURAL AND ARTIFICIAL FLAVOR, TETRASODIUM PYROPHOSPHATE.",240,90,10,6,0,null,null,0,25,35,2,30,2,0,0,0,20,null,1,1,Treat,53,null,2013-10-22T17:56:18+00:00,3971
Houlihan's,Kamikaze Brownie,521b95444a56d006cae29916,52cdd184051cb9eb3201625d,null,1,SERVED IN NEW YORK / NEW JERSEY - Kamikaze Brownie,null,1001,null,50,27,null,null,null,null,394,128,2,null,8,null,null,null,null,null,null,1,serving,null,null,2014-12-30T08:14:52+00:00,23847
Silver Mine Subs,Meatballs - small,513fbc1283aa2dc80c00022d,513fc9c9673c4fbc260044b9,null,1,MEATS - Meatballs - small,null,260,170,19,6,0,null,null,45,670,7,2,0,18,4,2,10,15,null,null,84,grams,null,null,2014-12-30T07:48:11+00:00,18180
Golden Krust Caribbean Bakery & Grill,Sm Escoveitched Fish Meal,513fbc1283aa2dc80c000289,ae49697558f5fd09c90cdb93,null,1,Reggaefest Meals - Sm Escoveitched Fish Meal,null,983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,Meal,null,null,2014-12-30T08:24:44+00:00,3893
Robeks,South Pacific Squeeze Smoothies 12 oz.,513fbc1283aa2dc80c000176,513fc999927da70408005af3,null,1,Smoothies - South Pacific Squeeze Smoothies - 12 oz.,null,200,null,1,null,null,null,null,null,null,47,2,36,2,0,196,4,4,null,null,1,serving,null,null,2014-12-30T07:31:17+00:00,null
Bertucci's,Caesar Dressing,513fbc1283aa2dc80c000048,513fc997927da704080041df,null,1,Dressings & Sauces - Caesar Dressing,null,120,null,12,2,null,null,null,null,388,1,0,null,1,null,null,null,null,null,null,1,fl oz,null,null,2014-12-30T07:28:46+00:00,22280
La Rosa's Pizzeria,Large Big 4 Pick 4 Hand Tossed Pizza,521b95464a56d006cae29d1d,53444f3abbe3351445980858,null,1,HAND TOSSED PIZZAS - Large Big 4 Pick 4 Hand Tossed Pizza,null,461,null,19,8,null,null,null,47,1047,49,3,null,22,null,null,null,null,null,null,195,g,null,null,2014-12-30T08:18:38+00:00,24422
Cosi,CosÌÂ Break Bar å¨ - Whole,513fbc1283aa2dc80c000064,53444840bbe335144597fbb9,null,1,,null,359,166,18,4,0,null,null,0,18,44,4,30,8,0,0,4,14,null,null,71,Grams,71,null,2014-10-02T18:42:30+00:00,25410
Burger Lounge,Add Malt to A Milkshake,513fbc1283aa2dc80c000314,52cdd0e5051cb9eb32013840,null,1,DESSERTS - Add Malt to A Milkshake,null,243,49,5,3,0,null,null,14,230,41,3,27,8,null,null,null,null,null,null,2,oz,null,null,2014-12-30T08:13:58+00:00,23749
4food,Need It Sandwich,521b95454a56d006cae29a98,53444ea3bbe33514459806d7,null,1,BUILDBOARD - Need It Sandwich,null,661,null,39,8,0,null,null,131,903,26,2,3,43,9,0,26,89,null,null,1,sandwich,null,null,2014-12-30T08:20:02+00:00,24708
Boston's The Gourmet Pizza,Chipotle Chicken & Bacon Salad with 2 oz Honey Mustard,513fbc1283aa2dc80c000180,513fc99a927da70408006637,null,1,Salads - Chipotle Chicken & Bacon Salad with 2 oz Honey Mustard,null,730,null,47,null,null,null,null,null,2460,40,6,null,46,null,null,null,null,null,null,578,g,684,null,2014-12-30T07:32:37+00:00,3339
Whitespot Restaurants,The SpotÛªs Fish & Chips 2 piece with Tartar,513fbc1283aa2dc80c000b8e,513fc9ca673c4fbc26004e0a,null,1,SPOT CLASSICS - The SpotÛªs Fish & Chips 2 piece with Tartar,null,533,null,40.2,6.2,0.4,null,null,116.8,928.6,10.8,0,0,30.4,2,0,2,3,null,null,258,grams,null,null,2014-12-30T07:49:05+00:00,null
Honey Dew Donuts,Coconut Coffee small shot,513fbc1283aa2dc80c000173,513fc999927da70408005952,null,1,Flavored Coffee - Coconut Coffee - small shot,null,10,0,0,0,0,null,null,0,0,2,0,0,0,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:31:04+00:00,null
Kahala Coffee Traders,"Chai Tea Latte, Regular",ae496529ccbf1e0731232e8c,ae496608f5c5e7e381299fea,null,1,"COFFEE & TEA - Chai Tea Latte, Regular",null,140,60,7,4,0,null,null,20,100,13,0,13,7,6,0,25,0,null,null,1,Regular Tea Latte,360,null,2014-12-30T08:27:32+00:00,26436
Fleming's Prime Steakhouse,Fried Calamari With Chili Sauce,51cb34b197c3e632be9f496f,51cb356d97c3e632bfc46cb4,null,1,,null,350,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,1,serving,null,null,2014-12-30T08:01:13+00:00,null
Burger Lounge,Add Malt to A Milkshake,513fbc1283aa2dc80c000314,52cdd0e5051cb9eb32013840,null,1,DESSERTS - Add Malt to A Milkshake,null,243,49,5,3,0,null,null,14,230,41,3,27,8,null,null,null,null,null,null,2,oz,null,null,2014-12-30T08:13:58+00:00,23749
Village Inn,Under 550 Calories Garden Veggie Omelette,51cb34ac97c3e632be9f3d34,51cb356597c3e632bfc46049,null,1,BREAKFAST ITEMS - EGG CRAVERÛªS OMELETTES - Under 550 Calories Garden Veggie Omelette,null,435,200,22,3,0,null,null,80,980,40,3,11,23,null,null,null,null,null,null,1,order,null,null,2014-12-30T07:58:51+00:00,20603
Pizza Inn,"A La Carte Pizza, Individual, New York Crust, 1 Topping",513fbc1283aa2dc80c00055c,5266a33a9f05a39eb30168b7,null,1,"Pizzas - A La Carte Pizza, Individual, New York Crust, 1 Topping",null,715,281,31,8.9,0.1,null,null,39,1400,82,3.7,4.9,26,14,7,42,8,null,null,4,slices,null,null,2014-12-30T08:06:32+00:00,22198
Eat'n Park,Buttermilk Pancakes (2 pancakes),51cb34ab97c3e632be9f39f9,51cb356e97c3e632bfc46e3d,null,1,Breakfast - Buttermilk Pancakes (2 pancakes),null,149,null,2,null,null,null,null,8,469,28,1,null,4,null,null,null,null,null,null,2,pancakes,null,null,2014-12-30T08:01:24+00:00,20957
Pizza Inn,"Bavarian Cream Pizzert, Individual",513fbc1283aa2dc80c00055c,5266a3399f05a39eb30167cc,null,1,"Desserts - Bavarian Cream Pizzert, Individual",null,284,51,5.6,0.5,0.7,null,null,0,176,59,0.2,41,0.8,0,0,0,2,null,null,4,slices,null,null,2014-12-30T08:06:29+00:00,22195
