brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,images_front_full_url,updated_at,section_id
Boston Pizza,Genovese Pesto - Individual Pizza,521b95434a56d006cae29705,53444b4c9a631f1645ecf898,null,1,GOURMET PIZZAS - INTERNATIONAL - Genovese Pesto - Individual Pizza,null,780,null,47,15,0.5,null,null,65,1320,60,6,3,33,25,80,60,35,null,null,369,g,null,null,2014-12-30T08:22:17+00:00,25169
Rally's,Strawberry Shake - Large,521b95454a56d006cae29a4f,52cdd1fd051cb9eb32017d67,null,1,SHAKES & TREATS - Strawberry Shake - Large,null,660,180,20,14,0.5,null,null,80,310,106,0,79,14,null,null,null,null,null,null,560,g,null,null,2014-12-30T08:15:20+00:00,23953
Souplantation & Sweet Tomatoes,Linguini w/ Clam Sauce,53433c36d84520603669e6fe,53444ac37395ed134519e729,null,1,HOT PASTAS & KITCHEN FAVORITES - Linguini w/ Clam Sauce,null,380,null,10,7,0.5,null,null,40,890,56,1,3,16,null,null,null,null,null,null,1,cup,null,null,2014-12-30T08:23:39+00:00,25445
Benihana,Salmon 99.05 g,521b95434a56d006cae29803,ae4931067ff4c665ba973112,null,1,SASHIMI/NIGIRI - Salmon 99.05 g,null,192,115,12,3,0,null,null,null,12,0,null,null,19,null,null,null,null,null,null,99.05,grams,null,null,2014-12-30T08:24:58+00:00,25709
Beef o Brady's,Basket of Straight Fries with Chili Cheese Dip,513fbc1283aa2dc80c000679,516d9a41e3afed032c7dad29,null,1,Appetizers - Basket of Straight Fries with Chili Cheese Dip,null,910,470,53,14,1,null,null,30,2320,98,7,2,15,null,null,null,null,null,null,1,plating,null,null,2014-12-30T07:58:16+00:00,20362
4food,The health nut Sandwich,521b95454a56d006cae29a98,53444ea67395ed134519ef7a,null,1,BUILDBOARD - The health nut Sandwich,null,395,null,15,2,0,null,null,73,539,21,2,3,31,475,25,7,39,null,null,1,sandwich,null,null,2014-12-30T08:20:06+00:00,24708
Farmer Boys,4 pc Hand Battered Fish Dinner,513fbc1283aa2dc80c0003b1,ae49310621b86cecdb6735f3,null,1,FISH - 4 pc Hand Battered Fish Dinner,null,1933,null,102,21,0,null,null,106,3117,201,11,9,53,null,null,null,null,null,null,1,plating,null,null,2014-12-30T08:25:05+00:00,17228
The Coffee Bean,12 oz Tea Latte Over Ice Chocolate Powder,513fbc1283aa2dc80c0001ff,513fc99c927da70408006ea4,null,1,COLD DRINKS - ICED ESPRESSO & COFFEE DRINKS - Tea Latte Over Ice - 12 oz Tea Latte Over Ice Chocolate Powder,null,120,0,0,2,null,null,null,0,150,24,0,0,null,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:33:35+00:00,null
Jamba Juice,Jazzy Java Chocolate (Medium),513fbc1283aa2dc80c000040,529e7dcdf9655f6d35001ab7,null,1,,null,170,null,2.5,1.5,0,null,null,10,105,36,6,21,6,0,0,0,0,null,null,1,serving,null,null,2012-04-18T04:05:59+00:00,null
Winchell's Donut House,"Tea - Hot Brewed, 16 oz",513fbc1283aa2dc80c00022c,513fc9c4673c4fbc260003c2,null,1,"DRINKS - Tea - Hot Brewed, 16 oz",null,0,0,0,0,0,null,null,0,15,0,0,0,0,0,0,2,0,null,null,16,fl oz,454,null,2014-12-30T07:34:38+00:00,1447
Buona Restaurants,Chicken Penne Soup Cup,521b95444a56d006cae2983f,53444d247ba4ca15456f56b2,null,1,HOMEMADE SOUP - CUP - Chicken Penne Soup Cup,null,88,null,2,0,0,null,null,16,1142,9,2,3,8,null,null,null,null,null,null,1,cup,null,null,2014-12-30T08:22:36+00:00,25229
Sonic,"Java Chiller, Chocolate/Caramel (20 oz)",513fbc1283aa2dc80c000010,513fc991927da704080002f8,null,1,,null,700,290,32,22,0,null,null,125,440,94,0,68,9,25,0,30,2,null,null,1,serving,null,null,2014-12-30T07:22:08+00:00,null
Nando's Peri-Peri,Kanankop Kadette Wine 750 milliliters,513fbc1283aa2dc80c000058,52cdcdef051cb9eb32008e73,null,1,WINE - Kanankop Kadette Wine 750 milliliters,null,634,0,0,0,0,null,null,0,30,19,0,5,1,0,0,6,17,null,null,750,milliliters,null,null,2014-12-30T08:14:37+00:00,23798
Bagger DaveÛªs,Cajun and Sea Salt Tortilla Chips,521b954a4a56d006cae2a72b,ae496975eaa9684bf632448f,null,1,APPETIZERS & SIDES - Cajun and Sea Salt Tortilla Chips,null,350,140,15,1.5,0,null,null,0,560,48,3,1,5,null,null,null,null,null,null,1,Bag,null,null,2014-12-30T08:24:29+00:00,25597
The Keg Steakhouse,Chocolate Cake (Canadian Menu only),513fbc1283aa2dc80c00017c,513fc999927da70408005bc7,null,1,Desserts - Chocolate Cake (Canadian Menu only),null,816.4,null,43,13,null,null,null,null,482.4,102.3,null,null,11.7,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:31:23+00:00,null
K & W Cafeterias,Italian Seafood Salad,513fbc1283aa2dc80c000253,513fc9c4673c4fbc260006ac,null,1,Meat Salads - Italian Seafood Salad,null,116,18,2,0,null,null,null,30,1273,12,1,0,11,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:34:58+00:00,3192
Port of Subs,Mayonnaise,513fbc1283aa2dc80c00007c,513fc99c927da704080074ba,null,1,Add-Ons and Condiments - Mayonnaise,null,97,97,11,1,0,null,null,5,73,0,0,0,0,null,null,null,null,null,null,0.5,oz.,14.18,null,2014-12-30T07:34:11+00:00,1393
Winchell's Donut House,"Tea - Hot Brewed, 16 oz",513fbc1283aa2dc80c00022c,513fc9c4673c4fbc260003c2,null,1,"DRINKS - Tea - Hot Brewed, 16 oz",null,0,0,0,0,0,null,null,0,15,0,0,0,0,0,0,2,0,null,null,16,fl oz,454,null,2014-12-30T07:34:38+00:00,1447
Chili's,Lighter Choice 6 oz Classic Sirloin,513fbc1283aa2dc80c000022,534449319a631f1645ecf5a7,null,1,LIGHTER CHOICES - Lighter Choice 6 oz Classic Sirloin,null,250,60,7,3,0,null,null,65,1450,12,5,3,37,null,null,null,null,null,null,1,serving,null,null,2014-12-30T08:19:03+00:00,21403
Uno Chicago Grill,Kid's Chicken Caesar Salad,513fbc1283aa2dc80c00021e,513fc99c927da704080073a3,null,1,KIDS MENU - Kid's Chicken Caesar Salad,null,310,170,19,5,0,null,null,75,910,12,2,2,25,150,35,15,10,null,null,232,g,116,null,2014-12-30T07:34:03+00:00,23610
Dairy Queen,Turtle Pecan Cluster Blizzard - Mini,513fbc1283aa2dc80c000027,513fc996927da70408003331,null,1,BLIZZARD TREATS - Turtle Pecan Cluster Blizzard - Mini,null,400,170,18,10,0,null,null,30,180,53,1,40,8,15,0,25,10,null,null,198,grams,null,null,2014-12-30T07:23:53+00:00,21367
Sizzler,Blue Cheese Dressing,521b95434a56d006cae2967f,534449777ba4ca15456f4fe0,null,1,,null,320,271,30,3.3,0,null,null,6.3,498,10,0.2,9.2,1.8,2,1,5,1,null,null,1,serving,null,null,2014-12-30T08:18:53+00:00,21607
Godfather's Pizza,"Humble Pie, Thin Crust, Large",513fbc1283aa2dc80c00015e,5266a2329f05a39eb300f98b,null,1,"Pizza - Humble Pie, Thin Crust, Large",null,300,159,18,6,0,null,null,35,570,19,1,1,13,null,null,null,null,null,null,104,g,null,null,2014-12-30T08:03:53+00:00,21672
Robeks,South Pacific Squeeze Smoothies 12 oz.,513fbc1283aa2dc80c000176,513fc999927da70408005af3,null,1,Smoothies - South Pacific Squeeze Smoothies - 12 oz.,null,200,null,1,null,null,null,null,null,null,47,2,36,2,0,196,4,4,null,null,1,serving,null,null,2014-12-30T07:31:17+00:00,null
Seasonal Specialties,Artisan White Ciabatta Roll,53022ccebf41bf4b1c000001,ae497599493a94dd51390051,null,1,,null,106,9,1,0,0,null,null,0,230,21,1,0,4,null,null,null,null,null,null,1,roll,null,null,2014-10-31T17:16:57+00:00,25770
Peter Piper Pizza,Provolone Cheese - Large,513fbc1283aa2dc80c00054c,513fc9e63fe3ffd4030000f4,null,1,,null,570,390,43,28,0,null,null,110,1430,3,0,1,42,null,null,null,null,null,null,1,Large Portion,null,null,2014-12-30T07:54:11+00:00,19487
Sonic,Sweet Iced Tea -Route 44å¨ (44 oz),513fbc1283aa2dc80c000010,513fc993927da70408001c19,null,1,,null,400,0,0,0,0,null,null,0,25,103,0,100,0,0,0,0,0,null,null,1,serving,null,null,2014-12-30T07:22:14+00:00,null
Red Robin,Banza Burger,521b95434a56d006cae29678,52cdccef051cb9eb32005486,null,1,FIRE-GRILLED BURGERS - Gourmet - Banza Burger,null,1058,null,59,null,null,null,null,null,1951,102,4,44,28,null,null,null,null,null,null,1,sandwich,null,null,2014-12-30T08:13:33+00:00,23684
First Watch,English Muffin,513fbc1283aa2dc80c00081c,516d9a3fe3afed032c7da472,null,1,BREAKFAST AND BRUNCH - English Muffin,null,110,10,1,0,null,null,null,0,220,22,1,1,5,0,2,15,6,null,null,1,standard portion size,null,null,2014-12-30T07:57:07+00:00,26011
Mike's Restaurants,Linguine Al Salmone Regular Portion (Multigrain),513fbc1283aa2dc80c0012eb,513fc9ce673c4fbc26007380,null,1,Pasta (no garlilc bread) - Linguine al salmone regular portion (multigrain),null,1100,null,55,14,0.2,null,null,225,2420,108,8,8,58,10,10,45,35,null,null,676,g,null,null,2014-12-30T07:53:53+00:00,19444
Fosters Freeze,Hot Fudge Malt - 20 oz.,521b95444a56d006cae298e4,ae497599226d33ec2b960ae4,null,1,MALTS - Hot Fudge Malt - 20 oz.,null,712.7,null,null,16.4,null,null,null,null,413.6,103.5,null,null,null,null,null,null,null,null,null,20,oz.,null,null,2014-12-30T08:26:02+00:00,26065
Sizzler,Blue Cheese Dressing,521b95434a56d006cae2967f,534449777ba4ca15456f4fe0,null,1,,null,320,271,30,3.3,0,null,null,6.3,498,10,0.2,9.2,1.8,2,1,5,1,null,null,1,serving,null,null,2014-12-30T08:18:53+00:00,21607
Runza,BLT Runzaå¨ Sandwich,521b95434a56d006cae296ce,53444af57395ed134519e809,null,1,RUNZA SANDWICHES - BLT Runzaå¨ Sandwich,null,745,null,40,12,3,null,null,60,1760,68,4,11,25,null,null,null,null,null,null,1,sandwich,null,null,2014-12-30T08:23:02+00:00,25318
Menchie's Frozen Yogurt,Takes The Cake Batter,513fbc1283aa2dc80c00007f,5266a1999f05a39eb300b8dd,null,1,LOWFAT - Takes The Cake Batter,null,130,10,1,0,null,null,null,null,null,26,null,20,4,null,null,15,null,null,null,0.5,cup,null,null,2014-12-30T08:06:10+00:00,22077
K & W Cafeterias,Italian Seafood Salad,513fbc1283aa2dc80c000253,513fc9c4673c4fbc260006ac,null,1,Meat Salads - Italian Seafood Salad,null,116,18,2,0,null,null,null,30,1273,12,1,0,11,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:34:58+00:00,3192
Qdoba,Fat-Free Picante,513fbc1283aa2dc80c00003a,52cdcbf7051cb9eb320019f4,null,1,ADD - Add-ons - Fat-Free Picante,null,40,0,0,0,0,0,0,0,500,9,1,3,1,1,2,3,1,null,null,1,serving,null,null,2013-12-04T10:13:42+00:00,23570
Bill Gray's Restaurant,Kiddie Van. Custard,521b95474a56d006cae2a0ca,53444fa77ba4ca15456f5f85,null,1,CUSTARD - Kiddie Van. Custard,null,149,null,8.7,5.25,null,null,null,57,131,16,0,15,3.5,null,null,null,null,null,null,1,serving,null,null,2014-12-30T08:21:42+00:00,25007
Ponderosa Steakhouse,Chocolate Mousse Shooter,513fbc1283aa2dc80c00056e,513fc9e63fe3ffd403000a94,null,1,All You Can Eat Buffet - Chocolate Mousse Shooter,null,84,41,5,4,0,null,null,0,35,10,0,8,0,null,null,null,null,null,null,1,Ounce,null,null,2014-12-30T07:55:10+00:00,22725
Applebee's,Strawberry Vinaigrette,513fbc1283aa2dc80c000015,534448e4bbe335144597fd76,null,1,KID'S MENU - Strawberry Vinaigrette,null,110,null,8,1,0,null,null,null,220,9,0,null,0,null,null,null,null,null,null,1,fl oz,null,null,2014-12-30T08:19:37+00:00,21146
Charlie Brown's Steakhouse,Buffalo Chicken Wrap,521b95444a56d006cae29861,53444d399a631f1645ecfb93,null,1,LUNCH SANDWICHES - Buffalo Chicken Wrap,null,890,346,38,16,0,null,null,166,2399,70,3.6,3.2,63,47,18,70,33,null,null,1,Sandwich,null,null,2014-12-30T08:24:07+00:00,25528
Johnny Rockets,Tuna Melt,513fbc1283aa2dc80c000044,513fc999927da70408005398,null,1,Rocket Melts - Tuna Melt,null,810,450,53,14,0,null,null,90,1460,44,2,4,35,null,null,null,null,null,null,1,serving,null,null,2014-12-30T07:30:18+00:00,null
First Watch,English Muffin,513fbc1283aa2dc80c00081c,516d9a3fe3afed032c7da472,null,1,BREAKFAST AND BRUNCH - English Muffin,null,110,10,1,0,null,null,null,0,220,22,1,1,5,0,2,15,6,null,null,1,standard portion size,null,null,2014-12-30T07:57:07+00:00,26011
Manhattan Bagel,Poppy Seed Bagel Stick,513fbc1283aa2dc80c000172,513fc999927da704080057e9,null,1,Bagel Sticks - Poppy Seed,null,360,45,5,0,0,null,null,0,670,69,3,3,12,0,0,4,null,null,null,1,serving,null,null,2014-12-30T07:30:52+00:00,null
Silver Mine Subs,Meatballs - small,513fbc1283aa2dc80c00022d,513fc9c9673c4fbc260044b9,null,1,MEATS - Meatballs - small,null,260,170,19,6,0,null,null,45,670,7,2,0,18,4,2,10,15,null,null,84,grams,null,null,2014-12-30T07:48:11+00:00,18180
Beef o Brady's,Basket of Straight Fries with Chili Cheese Dip,513fbc1283aa2dc80c000679,516d9a41e3afed032c7dad29,null,1,Appetizers - Basket of Straight Fries with Chili Cheese Dip,null,910,470,53,14,1,null,null,30,2320,98,7,2,15,null,null,null,null,null,null,1,plating,null,null,2014-12-30T07:58:16+00:00,20362
Bonefish Grill,Mediterranean Ratatouille,521b95434a56d006cae29823,52cdd0d3051cb9eb320133b8,null,1,DINNER - Seasonal Garnish=Mediterranean Ratatouille,null,46,25,3,1,0,null,null,0,492,5,2,2,1,null,null,null,null,null,null,1,serving,null,null,2014-12-30T08:14:55+00:00,23892
Einstein Bros. Bagels,"Hot Chocolate, Regular (whole milk)",513fbc1283aa2dc80c00003e,513fc9e73fe3ffd403001214,null,1,,null,360,130,14,8,0,null,null,55,120,51,2,44,9,10,2,25,25,null,null,1,serving,null,null,2014-12-30T07:56:24+00:00,null
Caribou Coffee,"Large Berry Mocha w/ Dark Chocolate, Soy Milk and whip",513fbc1283aa2dc80c000049,513fc999927da70408005f0f,null,1,"Large Berry Mocha w/ Dark Chocolate, Soy Milk and whip",null,650,330,36,21,0,null,null,45,160,84,7,69,13,18,0,8,35,null,null,1,serving,512,null,2014-12-30T07:31:45+00:00,null
Gordon Biersch Brewery,Blackened Mahi Mahi Sandwich with Crisp Sweet Pot,513fbc1283aa2dc80c00088c,516d9a40e3afed032c7da9ee,null,1,Stacked Sandwiches - Blackened Mahi Mahi Sandwich with Crisp Sweet Pot,null,988,403,45,7,3,null,null,133,3328,102,7.9,25,43,0,0,0,0,null,null,1,Serving,null,null,2014-12-30T07:57:52+00:00,20220
Seasons 52,Swordfish Soba Noodle,513fbc1283aa2dc80c000168,529e7f63ea63d4933500995b,null,1,Seafood Entrees - Swordfish Soba Noodle,null,420,null,14,3,null,null,null,110,1360,33,6,6,44,null,null,null,null,null,null,1,plating,null,null,2014-12-30T08:09:05+00:00,22840
Caribou Coffee,Large Northern Lite Berry Mocha Cooler w/ White Chocolate and non-fat whip,513fbc1283aa2dc80c000049,513fc999927da70408005f57,null,1,Large Northern Lite Berry Mocha Cooler w/ White Chocolate and non-fat whip,null,395,80,9,9,0,null,null,0,200,89,9,56,5,0,2,19,0,null,null,1,serving,775,null,2014-12-30T07:31:47+00:00,null
IHOP,Blueberry Syrup,513fbc1283aa2dc80c000018,513fc9c6673c4fbc2600201f,null,1,Thirst-Quenching Beverages - Syrups - Blueberry Syrup,null,110,0,0,0,0,null,null,0,10,26,0,18,0,null,null,null,null,null,null,1,oz,null,null,2014-12-30T07:43:04+00:00,null
